Filename,Size (bytes),Creation Date
00_LU_ANCRDT_agencies_v1_0_10.xml,1347,2025-12-11 10:43:17
00_LU_ANCRDT_agencies_v1_0_7.xml,1342,2025-12-11 10:43:24
00_LU_ANCRDT_agencies_v1_0_8.xml,1347,2025-12-11 10:43:21
00_LU_ANCRDT_agencies_v1_0_9.xml,1347,2025-12-11 10:43:19
01_LU_ANCRDT_full_v1_0_10.xml,1947421,2025-12-11 10:43:17
01_LU_ANCRDT_full_v1_0_7.xml,1849836,2025-12-11 10:43:24
01_LU_ANCRDT_full_v1_0_8.xml,1915582,2025-12-11 10:43:21
01_LU_ANCRDT_full_v1_0_9.xml,1939535,2025-12-11 10:43:19
AnaCredit - Technical specifications - v1.0.10.pdf,564426,2025-12-11 10:43:17
AnaCredit - Technical specifications - v1.0.10_track_changes.pdf,581610,2025-12-11 10:43:17
AnaCredit - Technical specifications - v1.0.11.pdf,564618,2025-12-11 10:43:15
AnaCredit - Technical specifications - v1.0.11_track_changes.pdf,580646,2025-12-11 10:43:15
AnaCredit - Technical specifications - v1.0.12.pdf,684837,2025-12-11 10:43:11
AnaCredit - Technical specifications - v1.0.12_track_changes.pdf,811331,2025-12-11 10:43:11
AnaCredit - Technical specifications - v1.0.13.pdf,349602,2025-12-11 10:43:09
AnaCredit - Technical specifications - v1.0.13_track_changes.pdf,355379,2025-12-11 10:43:09
AnaCredit - Technical specifications - v1.0.7.pdf,564524,2025-12-11 10:43:24
AnaCredit - Technical specifications - v1.0.7_track_changes.pdf,580351,2025-12-11 10:43:24
AnaCredit - Technical specifications - v1.0.8.pdf,565230,2025-12-11 10:43:21
AnaCredit - Technical specifications - v1.0.8_track_changes.pdf,581232,2025-12-11 10:43:21
AnaCredit - Technical specifications - v1.0.9.pdf,565241,2025-12-11 10:43:19
AnaCredit - Technical specifications - v1.0.9_track_changes.pdf,581682,2025-12-11 10:43:19
AnaCredit_instructions_EN.pdf,624491,2025-12-11 10:43:02
AnaCredit_instructions_EN_Revision_marks.pdf,644761,2025-12-11 10:43:02
AnaCredit_list_reporting_Member_States_EN.pdf,37602,2025-12-11 10:43:02
AnaCredit_list_reporting_member_states_EN_Revision_marks.pdf,38002,2025-12-11 10:43:02
AnaCredit_methodology_comparison_BSI_MIR_2023_12_EN.pdf,1195163,2025-12-11 10:43:07
AnaCredit_methodology_comparison_BSI_MIR_2023_12_EN_Rm.pdf,1498505,2025-12-11 10:43:07
AnaCredit_methodology_comparison_report_FINREP_2023_12_EN.pdf,861927,2025-12-11 10:43:04
AnaCredit_methodology_comparison_report_FINREP_2023_12_EN_RM.pdf,886231,2025-12-11 10:43:05
AnaCredit_methodology_comparison_report_FINREP_EN.pdf,839149,2025-12-11 10:43:03
AnaCredit_methodology_comparison_report_FINREP_EN_Revision_marks.pdf,839599,2025-12-11 10:43:04
AnaCredit_methodology_comparison_report_iBSI_iMIR_EN.pdf,1050745,2025-12-11 10:43:05
AnaCredit_methodology_comparison_report_iBSI_iMIR_EN_revision_marks.pdf,1051388,2025-12-11 10:43:06
